,Date/Time (PST),Temperature (deg F),Relative Humidity (%),"Total Snow Depth ("")","Intermittent/Shot Snow ("")",Total Snow Depth Dayly Difference,Snow instability labels
0,2019-01-01 00:00:00,19.91,91.5,71.97,8.29,,0
1,2019-01-01 01:00:00,19.54,91.0,71.36,8.09,-0.6099999999999994,0
2,2019-01-01 02:00:00,19.53,91.4,71.64,7.7589999999999995,0.28000000000000114,0
3,2019-01-01 03:00:00,19.54,91.5,72.57,35.26,0.9299999999999926,0
4,2019-01-01 04:00:00,19.78,91.6,72.84,35.26,0.27000000000001023,0
5,2019-01-01 05:00:00,19.66,91.2,72.71,6.95,-0.13000000000000966,0
6,2019-01-01 06:00:00,19.17,91.2,73.12,7.354,0.4100000000000108,0
7,2019-01-01 07:00:00,19.54,90.9,73.24,8.43,0.11999999999999034,0
8,2019-01-01 08:00:00,19.78,91.0,72.84,7.891,-0.3999999999999915,0
9,2019-01-01 09:00:00,21.75,91.0,72.64,8.56,-0.20000000000000284,0
10,2019-01-01 10:00:00,22.6,92.1,72.32,8.3,-0.3200000000000074,0
11,2019-01-01 11:00:00,22.85,92.6,72.26,8.57,-0.05999999999998806,0
12,2019-01-01 12:00:00,25.78,93.7,72.1,8.44,-0.1600000000000108,0
13,2019-01-01 13:00:00,26.39,92.7,72.1,8.44,0.0,0
14,2019-01-01 14:00:00,24.92,92.6,71.97,8.04,-0.12999999999999545,0
15,2019-01-01 15:00:00,24.8,92.2,72.1,8.31,0.12999999999999545,0
16,2019-01-01 16:00:00,24.06,93.4,72.1,8.58,0.0,0
17,2019-01-01 17:00:00,24.18,93.3,71.84,8.58,-0.2599999999999909,0
18,2019-01-01 18:00:00,25.04,94.5,71.7,8.71,-0.14000000000000057,0
19,2019-01-01 19:00:00,26.27,95.6,71.37,8.71,-0.3299999999999983,0
20,2019-01-01 20:00:00,27.86,95.9,71.71,8.58,0.3399999999999892,0
21,2019-01-01 21:00:00,28.47,96.4,71.73,8.72,0.020000000000010232,0
22,2019-01-01 22:00:00,28.35,96.1,71.59,8.85,-0.14000000000000057,0
23,2019-01-01 23:00:00,28.72,96.5,71.46,8.72,-0.13000000000000966,0
24,2019-01-02 00:00:00,40.32,63.39,84.7,17.2,13.240000000000009,0
25,2019-01-02 01:00:00,40.94,63.39,85.0,16.93,0.29999999999999716,0
26,2019-01-02 02:00:00,39.96,66.53,84.7,17.07,-0.29999999999999716,0
27,2019-01-02 03:00:00,39.59,60.39,85.1,17.2,0.3999999999999915,0
28,2019-01-02 04:00:00,39.71,53.57,85.1,16.93,0.0,0
29,2019-01-02 05:00:00,38.98,50.22,85.3,16.93,0.20000000000000284,0
30,2019-01-02 06:00:00,35.91,64.35,84.9,16.8,-0.3999999999999915,0
31,2019-01-02 07:00:00,32.6,89.5,84.9,16.79,0.0,0
32,2019-01-02 08:00:00,32.74,94.1,85.1,16.66,0.19999999999998863,0
33,2019-01-02 09:00:00,33.47,94.3,85.1,16.39,0.0,0
34,2019-01-02 10:00:00,33.6,95.6,85.2,16.66,0.10000000000000853,0
35,2019-01-02 11:00:00,33.72,95.2,84.6,16.79,-0.6000000000000085,0
36,2019-01-02 12:00:00,33.97,95.2,84.4,16.66,-0.19999999999998863,0
37,2019-01-02 13:00:00,34.33,95.8,84.3,16.66,-0.10000000000000853,0
38,2019-01-02 14:00:00,34.21,96.3,84.4,16.52,0.10000000000000853,0
39,2019-01-02 15:00:00,33.47,99.8,84.4,16.52,0.0,0
40,2019-01-02 16:00:00,32.86,99.9,83.9,16.52,-0.5,0
41,2019-01-02 17:00:00,32.25,99.8,83.6,16.52,-0.30000000000001137,0
42,2019-01-02 18:00:00,32.12,99.8,83.6,16.66,0.0,0
43,2019-01-02 19:00:00,31.88,99.9,83.1,17.06,-0.5,0
44,2019-01-02 20:00:00,31.51,99.9,82.4,17.06,-0.6999999999999886,0
45,2019-01-02 21:00:00,30.89,99.9,82.5,17.6,0.09999999999999432,0
46,2019-01-02 22:00:00,30.4,99.9,85.1,18.13,2.5999999999999943,0
47,2019-01-02 23:00:00,30.04,99.8,82.7,17.06,-2.3999999999999915,0
48,2019-01-03 00:00:00,18.55,83.8,110.4,4.5280000000000005,27.700000000000003,0
49,2019-01-03 01:00:00,18.32,86.9,110.6,4.523,0.19999999999998863,0
50,2019-01-03 02:00:00,18.69,81.2,110.3,4.523,-0.29999999999999716,0
51,2019-01-03 03:00:00,19.05,78.26,110.5,4.524,0.20000000000000284,0
52,2019-01-03 04:00:00,18.93,80.3,110.3,4.524,-0.20000000000000284,0
53,2019-01-03 05:00:00,18.07,82.8,110.3,4.523,0.0,0
54,2019-01-03 06:00:00,17.58,78.06,110.3,4.523,0.0,0
55,2019-01-03 07:00:00,17.09,80.9,110.2,4.523,-0.09999999999999432,0
56,2019-01-03 08:00:00,20.78,79.63,110.3,4.456,0.09999999999999432,0
57,2019-01-03 09:00:00,19.79,75.59,109.9,4.457,-0.3999999999999915,0
58,2019-01-03 10:00:00,25.07,70.46,109.6,4.394,-0.30000000000001137,0
59,2019-01-03 11:00:00,25.89,74.78,109.4,4.2139999999999995,-0.19999999999998863,0
60,2019-01-03 12:00:00,26.49,74.36,109.6,4.2860000000000005,0.19999999999998863,0
61,2019-01-03 13:00:00,27.58,67.99,109.2,4.297,-0.3999999999999915,0
62,2019-01-03 14:00:00,28.07,67.24,109.1,4.297,-0.10000000000000853,0
63,2019-01-03 15:00:00,26.84,75.63,109.3,4.229,0.20000000000000284,0
64,2019-01-03 16:00:00,26.37,75.73,109.4,4.2860000000000005,0.10000000000000853,0
65,2019-01-03 17:00:00,25.15,76.41,109.4,4.284,0.0,0
66,2019-01-03 18:00:00,24.18,78.21,109.5,4.41,0.09999999999999432,0
67,2019-01-03 19:00:00,21.86,83.3,109.5,4.404,0.0,0
68,2019-01-03 20:00:00,21.0,87.5,109.4,4.399,-0.09999999999999432,0
69,2019-01-03 21:00:00,21.01,85.7,109.6,4.397,0.19999999999998863,0
70,2019-01-03 22:00:00,20.39,84.3,109.2,4.397,-0.3999999999999915,0
71,2019-01-03 23:00:00,18.92,89.7,109.4,4.26,0.20000000000000284,0
72,2019-01-04 00:00:00,37.16,66.62,95.6,-7999.0,-13.800000000000011,0
73,2019-01-04 01:00:00,37.52,63.75,95.6,-7999.0,0.0,0
74,2019-01-04 02:00:00,37.64,61.43,95.6,-7999.0,0.0,0
75,2019-01-04 03:00:00,35.81,69.62,95.4,-7999.0,-0.19999999999998863,0
76,2019-01-04 04:00:00,34.95,69.76,95.5,-7999.0,0.09999999999999432,0
77,2019-01-04 05:00:00,34.83,70.92,95.6,-7999.0,0.09999999999999432,0
78,2019-01-04 06:00:00,34.46,73.24,95.4,-7999.0,-0.19999999999998863,0
79,2019-01-04 07:00:00,37.16,69.9,95.4,-7999.0,0.0,0
80,2019-01-04 08:00:00,38.99,64.77,95.3,-7999.0,-0.10000000000000853,0
81,2019-01-04 09:00:00,42.02,58.26,95.3,-7999.0,0.0,0
82,2019-01-04 10:00:00,44.23,52.46,95.0,-7999.0,-0.29999999999999716,0
83,2019-01-04 11:00:00,44.68,51.34,95.0,493.8,0.0,0
